entity,domain,subcategory,source,language
Chike Nwoffiah,family_and_kinship,person_name,wikidata,en
Chike Obi,family_and_kinship,person_name,wikidata,en
Chikelue Iloenyosi,family_and_kinship,person_name,wikidata,en
Chima Okorie,family_and_kinship,person_name,wikidata,en
Chimezie Ikeazor,family_and_kinship,person_name,wikidata,en
Chinaza Amadi,family_and_kinship,person_name,wikidata,en
Chinedu Ezimora,family_and_kinship,person_name,wikidata,en
Chinedu Ikedieze,family_and_kinship,person_name,wikidata,en
Chinedu Odozor-Onikeku,family_and_kinship,person_name,wikidata,en
Chinonye Ohadugha,family_and_kinship,person_name,wikidata,en
Chinwe Chukwuogo-Roy,family_and_kinship,person_name,wikidata,en
Chinwe Obaji,family_and_kinship,person_name,wikidata,en
Chinweizu Ibekwe,family_and_kinship,person_name,wikidata,en
Chinwoke Mbadinuju,family_and_kinship,person_name,wikidata,en
Chinyere Ike Nwosu,family_and_kinship,person_name,wikidata,en
Chioma Chukwuka Akpotha,family_and_kinship,person_name,wikidata,en
Chiwetalu Agu,family_and_kinship,person_name,wikidata,en
Chris Okoh,family_and_kinship,person_name,wikidata,en
Christian Okoye,family_and_kinship,person_name,wikidata,en
Christian Onoh,family_and_kinship,person_name,wikidata,en
Christopher Okojie,family_and_kinship,person_name,wikidata,en
Christopher Osondu,family_and_kinship,person_name,wikidata,en
Christy Essien-Igbokwe,family_and_kinship,person_name,wikidata,en
Christy Udoh,family_and_kinship,person_name,wikidata,en
Chuk Iwuji,family_and_kinship,person_name,wikidata,en
Chukwuemeka Chikelu,family_and_kinship,person_name,wikidata,en
Chukwuemeka Ezeife,family_and_kinship,person_name,wikidata,en
Chukwuemeka Ngozichineke Wogu,family_and_kinship,person_name,wikidata,en
Chukwuemeka Onyemachi,family_and_kinship,person_name,wikidata,en
Emeka Ihedioha,family_and_kinship,person_name,wikidata,en
Churchill Odia,family_and_kinship,person_name,wikidata,en
Churchill Oliseh,family_and_kinship,person_name,wikidata,en
Digger Okonkwo,family_and_kinship,person_name,wikidata,en
Emeka Ifejiagwa,family_and_kinship,person_name,wikidata,en
Emeka Nwajiobi,family_and_kinship,person_name,wikidata,en
Emeka Obidile,family_and_kinship,person_name,wikidata,en
Emmanuel Nnamdi Uba,family_and_kinship,person_name,wikidata,en
Emmanuel Ukaegbu,family_and_kinship,person_name,wikidata,en
Eni Njoku,family_and_kinship,person_name,wikidata,en
Evan Enwerem,family_and_kinship,person_name,wikidata,en
Felix Ibru,family_and_kinship,person_name,wikidata,en
Frank Ogbuewu,family_and_kinship,person_name,wikidata,en
Gregory Agboneni,family_and_kinship,person_name,wikidata,en
Obie Etie Ikechukwu,family_and_kinship,person_name,wikidata,en
Herbert Eze,family_and_kinship,person_name,wikidata,en
Hope Uzodimma,family_and_kinship,person_name,wikidata,en
Oliver Ogbonnaya,family_and_kinship,person_name,wikidata,en
Christian Aniche Izuchukwu,family_and_kinship,person_name,wikidata,en
James N.J. Aneke,family_and_kinship,person_name,wikidata,en
Jim Ifeanyichukwu Nwobodo,family_and_kinship,person_name,wikidata,en
Margaret Ekpo,family_and_kinship,person_name,wikidata,en
Charles Nwaogu,family_and_kinship,person_name,wikidata,en
Charles Onyeama,family_and_kinship,person_name,wikidata,en
Charles Uzor,family_and_kinship,person_name,wikidata,en
Chima,family_and_kinship,person_name,wikidata,en
Nnamdi Azikiwe,family_and_kinship,person_name,wikidata,en
Chibuzor Nwogbo,family_and_kinship,person_name,wikidata,en
Chika Chukwumerije,family_and_kinship,person_name,wikidata,en
Chris Abani,family_and_kinship,person_name,wikidata,en
Christian Okpala,family_and_kinship,person_name,wikidata,en
Obinna Eregbu,family_and_kinship,person_name,wikidata,en
Elechi Amadi,family_and_kinship,person_name,wikidata,en
Onyekachi Okonkwo,family_and_kinship,person_name,wikidata,en
